[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  6   3  88   4   0   0| 743M 52.9M 1743M 39.5M|   0     0 |   0     0 
  4   2  95   0   0   0| 743M 52.9M 1743M 39.5M|   0    52B|   0     0 
  3   2  95   0   0   0| 743M 52.9M 1743M 39.5M|   0     0 |   0     0 
  4   1  93   3   0   0| 743M 52.9M 1743M 39.5M|   0    52B|   0     0 
  3   2  93   3   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0    28k
  3   2  91   4   0   0| 743M 52.9M 1743M 39.5M|   0    52B|   0     0 
  4  15  81   0   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0    12k
  3   2  95   0   0   0| 743M 52.9M 1743M 39.5M|   0    52B|   0     0 
  4   1  95   1   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0     0 
  3   2  95   0   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0    12k
  3   1  89   7   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0    40k
  4   2  94   0   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0     0 
  2   3  95   0   0   1| 743M 52.9M 1743M 39.4M|   0     0 |   0     0 
  3   2  91   4   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0     0 
  4   1  95   0   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0    12k
  3   2  91   4   0   1| 743M 52.9M 1743M 39.4M|   0    52B|   0     0 
  7   6  85   3   0   0| 743M 52.9M 1743M 39.3M|   0     0 |   0    28k
 11   3  87   0   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0     0 
  4   2  91   4   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0     0 
  3   2  95   0   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0    36k
  3   2  88   7   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0    64k
  3   2  95   0   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0     0 
  3   2  95   0   0   0| 743M 52.9M 1743M 39.4M|   0     0 |   0     0 
  4   1  93   3   0   0| 743M 52.9M 1743M 39.4M|   0    52B|   0     0 
  4   3  94   0   0   0| 743M 52.9M 1750M 32.3M|   0     0 |   0    12k
