[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  4   2  92   2   0   0| 733M 53.2M 1744M 47.4M|   0     0 |   0    16k
  4   1  95   0   0   0| 733M 53.2M 1744M 47.4M|   0    52B|   0     0 
  3   2  96   0   0   0| 733M 53.2M 1744M 47.4M|   0     0 |   0     0 
  4   1  95   0   0   0| 733M 53.2M 1744M 47.4M|   0    52B|   0    12k
  4   1  91   4   0   0| 733M 53.2M 1744M 47.4M|   0     0 |   0     0 
  4   2  95   0   0   0| 733M 53.2M 1752M 39.5M|   0    52B|   0     0 
  3   1  90   6   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0    16k
  4   1  95   0   0   0| 733M 53.2M 1752M 39.5M|   0    52B|   0     0 
  3   3  86   7   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0  8080k
  3   1  92   4   0   0| 733M 53.2M 1752M 39.5M|   0    52B|   0     0 
  4   2  93   0   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0     0 
  3   2  91   4   0   1| 733M 53.2M 1752M 39.5M|   0    52B|   0     0 
  4   1  95   0   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0     0 
  4   1  94   2   0   0| 733M 53.2M 1752M 39.5M|   0    52B|   0    28k
  4   1  91   4   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0     0 
  3   2  96   0   0   0| 733M 53.2M 1752M 39.5M|   0    52B|   0     0 
  3   2  91   4   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0     0 
  3   1  96   0   0   0| 733M 53.2M 1752M 39.5M|   0    52B|   0     0 
  3   3  94   1   0   0| 733M 53.2M 1752M 39.5M|   0     0 |   0    16k
  4   3  88   5   0   0| 733M 53.2M 1752M 39.8M|   0    52B|   0    16k
  3   1  96   0   0   0| 733M 53.2M 1752M 39.8M|   0     0 |   0     0 
  7   3  89   1   0   0| 733M 53.2M 1761M 30.7M|   0    52B|   0     0 
  3   2  94   1   0   1| 733M 53.2M 1761M 30.7M|   0     0 |   0     0 
  2   2  95   1   0   0| 733M 53.2M 1761M 30.7M|   0    52B|   0    12k
  4   1  91   3   0   0| 733M 53.2M 1761M 30.7M|   0     0 |   0     0 
  3   2  94   2   0   0| 733M 53.2M 1761M 30.7M|   0    52B|   0    16k
  4   2  95   0   0   0| 733M 53.2M 1761M 30.7M|   0     0 |   0     0 
  3   1  92   4   0   0| 733M 53.2M 1761M 30.7M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 53.2M 1761M 30.7M|   0     0 |   0    12k
  3   1  92   4   0   0| 733M 53.2M 1761M 30.7M|   0    52B|   0     0 
  4   1  93   1   0   0| 733M 53.2M 1761M 30.6M|   0     0 |   0    16k
  3   1  96   0   0   0| 733M 53.2M 1761M 30.6M|   0    52B|   0     0 
  4   0  92   4   0   1| 733M 53.2M 1761M 30.6M|   0     0 |   0     0 
  3   1  96   0   0   0| 733M 53.2M 1761M 30.6M|   0    52B|   0    12k
  3   2  91   4   0   0| 733M 53.2M 1761M 30.6M|   0     0 |   0     0 
  4   1  94   0   0   0| 733M 52.8M 1759M 32.2M|   0    52B|   0     0 
  4   1  92   2   0   0| 733M 52.8M 1759M 32.2M|   0     0 |   0    16k
  4   1  91   4   0   1| 733M 52.8M 1759M 32.2M|   0    52B|   0     0 
