[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  3   2  96   0   0   0| 750M 43.6M 1684M  101M|   0    52B|   0     0 
  3   2  91   4   0   0| 750M 43.6M 1692M 92.9M|   0     0 |   0     0 
  4   2  94   0   0   0| 750M 43.6M 1692M 92.9M|   0    52B|   0     0 
  4  11  73  13   0   0| 749M 43.7M 1695M 90.0M|   0     0 |   0  8108k
  3   2  92   4   0   0| 749M 43.7M 1695M 90.0M|   0    52B|   0     0 
  4   2  94   0   0   0| 749M 43.7M 1695M 90.0M|   0     0 |   0     0 
  3   2  91   4   0   0| 749M 43.7M 1695M 90.0M|   0    52B|   0     0 
  3   3  94   0   0   0| 749M 43.7M 1695M 89.9M|   0     0 |   0     0 
  4   3  93   0   0   1| 749M 43.7M 1695M 89.9M|   0    52B|   0    12k
  4   1  89   6   0   0| 749M 43.7M 1695M 89.9M|   0     0 |   0    16k
  4   1  95   0   0   0| 749M 43.7M 1695M 89.9M|   0    52B|   0     0 
  3   2  91   4   0   0| 749M 43.7M 1695M 89.9M|   0     0 |   0     0 
  4   1  95   0   0   0| 749M 43.7M 1695M 89.9M|   0    52B|   0     0 
  4   2  95   0   0   0| 749M 43.7M 1695M 89.9M|   0     0 |   0    16k
  4   2  91   4   0   0| 750M 43.7M 1695M 89.6M|   0    52B|   0     0 
  3   3  93   2   0   0| 750M 43.7M 1695M 89.7M|   0     0 |   0    16k
  3   2  91   4   0   0| 750M 43.7M 1695M 89.7M|   0    52B|   0     0 
  3   3  95   0   0   0| 750M 43.7M 1695M 89.7M|   0     0 |   0     0 
  3   2  95   0   0   0| 750M 43.7M 1695M 89.7M|   0    52B|   0    16k
  5   2  91   4   0   0| 750M 43.7M 1695M 89.7M|   0     0 |   0     0 
  4   1  96   0   0   0| 750M 43.7M 1695M 89.7M|   0    52B|   0     0 
  3   2  90   6   0   0| 750M 43.7M 1695M 89.7M|   0     0 |   0    16k
  4   2  94   1   0   0| 750M 43.7M 1692M 92.7M|   0    52B|   0     0 
  4   2  94   0   0   0| 750M 43.7M 1692M 92.8M|   0     0 |   0    12k
  4   1  91   4   0   0| 750M 43.7M 1692M 92.8M|   0    52B|   0     0 
  3   2  95   0   0   0| 750M 43.7M 1692M 92.8M|   0     0 |   0     0 
  5   2  94   0   0   0| 750M 43.7M 1692M 92.8M|   0    52B|   0     0 
  3   2  93   3   0   0| 750M 43.7M 1692M 92.8M|   0     0 |   0    16k
  4   2  94   1   0   0| 750M 43.7M 1692M 92.7M|   0    52B|   0    12k
  4   2  91   4   0   0| 750M 43.7M 1692M 92.7M|   0     0 |   0     0 
  5   1  94   0   0   0| 750M 43.7M 1692M 92.7M|   0    52B|   0     0 
  4   2  94   0   0   1| 749M 43.7M 1700M 85.2M|   0     0 |   0     0 
  5   2  90   4   0   0| 750M 43.7M 1699M 85.2M|   0    52B|   0     0 
  5  14  73   9   0   0| 750M 43.7M 1702M 82.2M|   0     0 |   0  8112k
  4   2  91   4   0   0| 750M 43.7M 1702M 82.3M|   0    52B|   0     0 
  4   1  95   0   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0     0 
  4   1  95   0   0   0| 750M 43.7M 1703M 81.9M|   0    52B|   0     0 
  3   2  92   4   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0     0 
  4   2  94   0   0   0| 750M 43.7M 1703M 81.9M|   0    52B|   0    28k
  3   3  88   7   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0    36k
  4   2  95   0   0   0| 750M 43.7M 1703M 81.9M|   0    52B|   0     0 
  3   1  96   0   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0     0 
  4   2  90   4   0   0| 750M 43.7M 1703M 81.9M|   0    52B|   0     0 
  4   2  95   0   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0    12k
  5   1  94   1   0   0| 750M 43.7M 1703M 81.9M|   0    52B|   0     0 
  2   3  92   3   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0    16k
  5   2  93   0   0   0| 750M 43.7M 1703M 81.9M|   0    52B|   0     0 
  4   2  91   4   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0     0 
  3   2  95   0   0   1| 750M 43.7M 1703M 81.9M|   0    52B|   0    12k
  4   2  95   0   0   0| 750M 43.7M 1703M 81.9M|   0     0 |   0     0 
  3   1  93   3   0   0| 750M 43.7M 1702M 81.9M|   0    52B|   0     0 
  4   1  92   3   0   0| 750M 43.7M 1702M 81.9M|   0     0 |   0    16k
  3   2  91   4   0   0| 750M 43.7M 1699M 84.7M|   0    52B|   0     0 
  3   1  96   0   0   0| 750M 43.7M 1699M 84.7M|   0     0 |   0    12k
  4   2  95   0   0   0| 750M 43.7M 1699M 84.7M|   0    52B|   0     0 
  3   2  91   4   0   0| 750M 43.7M 1699M 84.7M|   0     0 |   0     0 
  4   1  94   0   0   1| 750M 43.7M 1699M 84.7M|   0    52B|   0     0 
  3   2  90   6   0   0| 750M 43.7M 1699M 84.7M|   0     0 |   0    16k
  5   2  94   0   0   0| 750M 43.7M 1699M 84.7M|   0    52B|   0    12k
  5   1  95   0   0   0| 750M 43.7M 1700M 84.7M|   0     0 |   0     0 
  3   2  91   4   0   0| 750M 43.7M 1700M 84.7M|   0    52B|   0     0 
  4   1  95   0   0   0| 750M 43.7M 1707M 77.0M|   0     0 |   0     0 
  4   2  90   4   0   0| 750M 43.7M 1707M 77.0M|   0    52B|   0     0 
  4   8  78   9   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0  8084k
  5   7  88   0   0   0| 750M 43.8M 1710M 73.7M|   0    52B|   0  4096B
  4   1  91   4   0   0| 750M 43.8M 1710M 73.8M|   0     0 |   0     0 
  3   3  94   0   0   0| 750M 43.8M 1710M 73.8M|   0    52B|   0     0 
  4   2  95   0   0   0| 750M 43.8M 1710M 73.8M|   0     0 |   0     0 
  4   2  92   2   0   0| 750M 43.8M 1710M 73.8M|   0    52B|   0    16k
  4   1  93   3   0   0| 750M 43.8M 1710M 73.8M|   0     0 |   0    36k
  4   2  90   4   0   0| 750M 43.8M 1710M 73.7M|   0    52B|   0     0 
  4   2  95   0   0   0| 750M 43.8M 1710M 73.7M|   0     0 |   0     0 
  4   1  95   0   0   0| 750M 43.8M 1710M 73.8M|   0    52B|   0     0 
  4   1  94   1   0   0| 750M 43.8M 1710M 73.8M|   0     0 |   0    28k
  4   2  94   0   0   0| 750M 43.8M 1710M 74.0M|   0    52B|   0     0 
  3   2  89   7   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0    16k
  4   2  95   0   0   0| 750M 43.8M 1710M 73.9M|   0    52B|   0     0 
  3   2  95   0   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0     0 
  4   2  90   4   0   1| 750M 43.8M 1710M 73.9M|   0    52B|   0    12k
  3   2  95   0   0   0| 750M 43.8M 1710M 73.9M|   0     0 |   0     0 
