[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  4   2  91   4   0   0| 530M  100M  819M 1128M|   0    52B|   0    40k
  4   1  95   1   0   0| 530M  100M  819M 1128M|   0     0 |   0  4096B
  4   2  91   4   0   0| 530M  100M  819M 1128M|   0    52B|   0     0 
  3   2  95   0   0   0| 530M  100M  819M 1128M|   0     0 |   0     0 
  3   2  95   0   0   0| 530M  100M  819M 1128M|   0    52B|   0     0 
  4   1  91   4   0   0| 530M  100M  819M 1128M|   0     0 |   0    16k
  3   2  93   3   0   0| 530M  100M  819M 1128M|   0    52B|   0    16k
  4   1  91   4   0   1| 530M  100M  819M 1128M|   0     0 |   0     0 
  4   2  95   0   0   0| 530M  100M  819M 1128M|   0    52B|   0     0 
  3   2  95   0   0   0| 530M  100M  819M 1128M|   0     0 |   0     0 
  3   2  91   4   0   0| 530M  100M  819M 1128M|   0    52B|   0    12k
 34  16  49   0   0   1| 530M  100M  852M 1095M|   0     0 |   0     0 
  5   0  90   5   0   0| 530M  100M  852M 1095M|   0    52B|   0    16k
  4   2  94   0   0   0| 530M  100M  852M 1095M|   0     0 |   0     0 
  4   2  95   0   0   0| 530M  100M  852M 1095M|   0    52B|   0     0 
  3   2  91   4   0   0| 530M  100M  852M 1095M|   0     0 |   0    12k
  3   2  95   0   0   0| 530M  100M  852M 1095M|   0    52B|   0     0 
  5   3  90   1   0   0| 530M  100M  852M 1095M|   0     0 |   0     0 
 17   7  74   1   0   0| 530M  100M  867M 1080M|   0    52B|   0    16k
  4   2  94   0   0   0| 530M  100M  867M 1080M|   0     0 |   0     0 
  4   1  91   4   0   0| 530M  100M  867M 1080M|   0    52B|   0    12k
  5   2  94   0   0   0| 530M  100M  867M 1080M|   0     0 |   0     0 
  3   2  95   0   0   0| 530M  100M  867M 1080M|   0    52B|   0     0 
  4   1  88   7   0   0| 530M  100M  867M 1080M|   0     0 |   0    48k
  4   2  94   0   0   0| 530M  100M  875M 1072M|   0    52B|   0     0 
  4   1  82  14   0   0| 530M  100M  875M 1072M|   0     0 |   0  7936k
  4   2  94   0   0   1| 530M  100M  875M 1072M|   0    52B|   0     0 
  3   4  92   1   0   0| 531M  100M  875M 1071M|   0     0 |4096B    0 
  3   2  92   4   0   0| 531M  100M  875M 1072M|   0    52B|   0     0 
  4   2  94   0   0   0| 531M  100M  875M 1072M|   0     0 |   0     0 
  4   2  89   6   0   0| 531M  100M  875M 1071M|   0    52B|   0    92k
  3   2  94   1   0   1| 531M  100M  875M 1071M|   0     0 |   0  4096B
  4   2  95   0   0   0| 531M  100M  875M 1071M|   0    52B|   0     0 
  5   0  91   4   0   0| 531M  100M  875M 1071M|   0     0 |   0     0 
  3   1  96   0   0   0| 531M  100M  875M 1071M|   0    52B|   0     0 
  4   2  90   5   0   0| 531M  100M  875M 1071M|   0     0 |   0    56k
  3   2  93   3   0   0| 531M  100M  875M 1071M|   0    52B|   0    16k
  4   2  95   0   0   0| 531M  100M  875M 1071M|   0     0 |   0     0 
  3   2  91   4   0   0| 531M  100M  875M 1071M|   0    52B|   0     0 
  4   2  95   0   0   0| 531M  100M  875M 1071M|   0     0 |   0     0 
  4   2  93   2   0   0| 531M  100M  830M 1117M|   0    52B|   0    12k
  3   2  95   1   0   0| 531M  100M  830M 1117M|   0     0 |   0     0 
  3   2  92   3   0   1| 531M  100M  830M 1117M|   0    52B|   0    16k
  4   3  90   4   0   0| 531M  100M  830M 1117M|   0     0 |   0     0 
  4   1  95   0   0   0| 531M  100M  830M 1117M|   0    52B|   0     0 
  4   1  95   0   0   0| 531M  100M  830M 1117M|   0     0 |   0    12k
  3   1  92   4   0   0| 530M  100M  830M 1117M|   0    52B|   0     0 
  3   2  95   0   0   0| 531M  100M  830M 1117M|   0     0 |   0     0 
  3   2  89   7   0   0| 531M  100M  830M 1117M|   0    52B|   0    16k
  3   2  95   0   0   0| 531M  100M  830M 1117M|   0     0 |   0     0 
  3   3  95   0   0   0| 531M  100M  830M 1117M|   0    52B|   0    12k
  4   2  91   3   0   0| 531M  100M  830M 1117M|   0     0 |   0     0 
  4   2  94   0   0   0| 531M  100M  830M 1117M|   0    52B|   0     0 
  4   1  91   4   0   0| 531M  100M  830M 1117M|   0     0 |   0     0 
  4   2  92   3   0   0| 531M  100M  838M 1109M|   0    52B|   0    16k
  4   2  87   8   0   0| 531M  100M  838M 1109M|   0     0 |   0  7960k
  3   2  91   4   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  4   2  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  3   2  89   6   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  4   1  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  3   2  94   2   0   0| 531M  100M  838M 1109M|   0    52B|   0    36k
  3   2  90   5   0   0| 531M  100M  838M 1109M|   0     0 |   0  4096B
  4   2  94   0   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  4   1  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  5   1  94   0   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  3   2  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0    12k
  4   1  90   5   0   0| 531M  100M  838M 1109M|   0    52B|   0    16k
  4   1  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  3   2  91   4   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  4   2  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  3   1  96   0   0   0| 531M  100M  838M 1109M|   0    52B|   0    12k
  3   1  92   4   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  4   2  91   3   0   0| 531M  100M  838M 1109M|   0    52B|   0    16k
  3   1  92   4   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  3   5  92   0   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  5   1  95   0   0   0| 531M  100M  838M 1109M|   0     0 |   0    12k
  4   2  90   4   0   0| 531M  100M  838M 1109M|   0    52B|   0     0 
  3   1  96   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  3   2  89   7   0   0| 531M  100M  838M 1109M|   0    52B|   0    16k
  5   2  93   0   0   0| 531M  100M  838M 1109M|   0     0 |   0     0 
  4   3  92   1   0   0| 531M  100M  838M 1109M|   0    52B|4096B   40k
